Clave,Estado,Municipio,Gobierno,Eleccion2013
7081,Chiapas,Simojovel,PRI,SI
7082,Chiapas,Sitalá,PAN-PRD-CONV-PANAL,SI
7089,Chiapas,Tapachula,PAN-PRD-CONV-PANAL,SI
7092,Chiapas,Tecpatán,PRI,SI
7093,Chiapas,Tenejapa,PAN-PRD-CONV-PANAL,SI
7094,Chiapas,Teopisca,PAN-PRD-CONV-PANAL,SI
7096,Chiapas,Tila,PVEM,SI
7097,Chiapas,Tonalá,PAN-PRD-CONV-PANAL,SI
7099,Chiapas,La Trinitaria,PRI,SI
7100,Chiapas,Tumbalá,PVEM,SI
7101,Chiapas,Tuxtla Gutiérrez,PAN-PRD-CONV-PANAL,SI
7106,Chiapas,Venustiano Carranza,PAN-PRD-CONV-PANAL,SI
7107,Chiapas,Villa Corzo,PAN-PRD-CONV-PANAL,SI
7108,Chiapas,Villaflores,PRI,SI
7109,Chiapas,Yajalón,PVEM,SI
7110,Chiapas,San Lucas,PAN-PRD-CONV-PANAL,SI
7111,Chiapas,Zinacantán,PRI,SI
7112,Chiapas,San Juan Cancuc,PRI,SI
7113,Chiapas,Aldama,PRI,SI
7115,Chiapas,Maravilla Tenejapa,PRI,SI
7119,Chiapas,Santiago el Pinar,PAN-PRD-CONV-PANAL,SI
8019,Chiapas,Chihuahua,,
8027,Chiapas,Guachochi,,
8029,Chiapas,Guadalupe y Calvo,,
8037,Chiapas,Juárez,,
8046,Chiapas,Morelos,,
9005,Chiapas,Gustavo A. Madero,,
9007,Chiapas,Iztapalapa,,
9010,Chiapas,Álvaro Obregón,,
9012,Chiapas,Tlalpan,,
10005,Chiapas,Durango,,
10007,Chiapas,Gómez Palacio,,
10014,Chiapas,Mezquital,,
11003,Chiapas,San Miguel de Allende,,
11007,Chiapas,Celaya,,
11014,Chiapas,Dolores Hidalgo Cuna de la Independencia Nacional,,
11017,Chiapas,Irapuato,,
11020,Chiapas,León,,
11023,Chiapas,Pénjamo,,
11030,Chiapas,San Felipe,,
11033,Chiapas,San Luis de la Paz,,
11037,Chiapas,Silao,,
12001,Chiapas,Acapulco de Juárez,,
12002,Chiapas,Ahuacuotzingo,,
12003,Chiapas,Ajuchitlán del Progreso,,
12004,Chiapas,Alcozauca de Guerrero,,
12009,Chiapas,Atlamajalcingo del Monte,,
12010,Chiapas,Atlixtac,,
12011,Chiapas,Atoyac de Álvarez,,
12012,Chiapas,Ayutla de los Libres,,
12016,Chiapas,Coahuayutla de José María Izazaga,,
12018,Chiapas,Copala,,
12019,Chiapas,Copalillo,,
12020,Chiapas,Copanatoyac,,
12021,Chiapas,Coyuca de Benítez,,
12025,Chiapas,Cuautepec,,
12028,Chiapas,Chilapa de Álvarez,,
12029,Chiapas,Chilpancingo de los Bravo,,
12030,Chiapas,Florencio Villarreal,,
12032,Chiapas,General Heliodoro Castillo,,
12036,Chiapas,Igualapa,,
12038,Chiapas,Zihuatanejo de Azueta,,
12040,Chiapas,Leonardo Bravo,,
12041,Chiapas,Malinaltepec,,
12042,Chiapas,Mártir de Cuilapan,,
12043,Chiapas,Metlatónoc,,
12045,Chiapas,Olinalá,,
12046,Chiapas,Ometepec,,
12051,Chiapas,Quechultenango,,
12052,Chiapas,San Luis Acatlán,,
12053,Chiapas,San Marcos,,
12054,Chiapas,San Miguel Totolapan,,
12055,Chiapas,Taxco de Alarcón,,
12056,Chiapas,Tecoanapa,,
12057,Chiapas,Técpan de Galeana,,
12058,Chiapas,Teloloapan,,
12061,Chiapas,Tixtla de Guerrero,,
12062,Chiapas,Tlacoachistlahuaca,,
12063,Chiapas,Tlacoapa,,
12065,Chiapas,Tlalixtaquilla de Maldonado,,
12066,Chiapas,Tlapa de Comonfort,,
12069,Chiapas,Xalpatláhuac,,
12071,Chiapas,Xochistlahuaca,,
12072,Chiapas,Zapotitlán Tablas,,
12076,Chiapas,Acatepec,,
12078,Chiapas,Cochoapa el Grande,,
12079,Chiapas,José Joaquín de Herrera,,
12081,Chiapas,Iliatenco,,
13027,Chiapas,Huehuetla,,
13028,Chiapas,Huejutla de Reyes,,
13053,Chiapas,San Bartolo Tutotepec,,
13078,Chiapas,Xochiatipan,,
13080,Chiapas,Yahualica,,
14039,Chiapas,Guadalajara,,
14061,Chiapas,Mezquitic,,
14097,Chiapas,Tlajomulco de Zúñiga,,
14098,Chiapas,Tlaquepaque,,
14101,Chiapas,Tonalá,,
14120,Chiapas,Zapopan,,
15001,Chiapas,Acambay,,
15005,Chiapas,Almoloya de Juárez,,
15013,Chiapas,Atizapán de Zaragoza,,
15025,Chiapas,Chalco,,
15031,Chiapas,Chimalhuacán,,
15033,Chiapas,Ecatepec de Morelos,,
15039,Chiapas,Ixtapaluca,,
15041,Chiapas,Ixtapan del Oro,,
15042,Chiapas,Ixtlahuaca,,
15047,Chiapas,Jiquipilco,,
15057,Chiapas,Naucalpan de Juárez,,
15058,Chiapas,Nezahualcóyotl,,
15060,Chiapas,Nicolás Romero,,
15070,Chiapas,La Paz,,
15074,Chiapas,San Felipe del Progreso,,
15080,Chiapas,Sultepec,,
15081,Chiapas,Tecámac,,
15082,Chiapas,Tejupilco,,
15085,Chiapas,Temascalcingo,,
15087,Chiapas,Temoaya,,
15088,Chiapas,Tenancingo,,
15099,Chiapas,Texcoco,,
15104,Chiapas,Tlalnepantla de Baz,,
15106,Chiapas,Toluca,,
15109,Chiapas,Tultitlán,,
15114,Chiapas,Villa Victoria,,
15118,Chiapas,Zinacantepec,,
15119,Chiapas,Zumpahuacán,,
15121,Chiapas,Cuautitlán Izcalli,,
15122,Chiapas,Valle de Chalco Solidaridad,,
15123,Chiapas,Luvianos,,
15124,Chiapas,San José del Rincón,,
16034,Chiapas,Hidalgo,,
16050,Chiapas,Maravatío,,
16053,Chiapas,Morelia,,
16057,Chiapas,Nocupétaro,,
16102,Chiapas,Uruapan,,
16108,Chiapas,Zamora,,
16112,Chiapas,Zitácuaro,,
17007,Chiapas,Cuernavaca,,
18009,Chiapas,Del Nayar,,
19039,Chiapas,Monterrey,,
20007,Chiapas,Asunción Ocotlán,,
20012,Chiapas,Candelaria Loxicha,,
20015,Chiapas,Coatecas Altas,,
20016,Chiapas,Coicoyán de las Flores,,
20024,Chiapas,Cuyamecalco Villa de Zaragoza,,
20027,Chiapas,Chiquihuitlán de Benito Juárez,,
20029,Chiapas,Eloxochitlán de Flores Magón,,
20037,Chiapas,Mesones Hidalgo,,
20040,Chiapas,Huautepec,,
20048,Chiapas,Magdalena Mixtepec,,
20050,Chiapas,Magdalena Peñasco,,
20051,Chiapas,Magdalena Teitipac,,
20058,Chiapas,Mazatlán Villa de Flores,,
20067,Chiapas,Oaxaca de Juárez,,
20085,Oaxaca,San Agustín Loxicha,,
20095,Oaxaca,San Andrés Paxtlán,,
20098,Oaxaca,San Andrés Teotilálpam,,
20110,Oaxaca,San Antonio Sinicahua,,
20111,Oaxaca,San Antonio Tepetlapa,,
20116,Oaxaca,San Bartolomé Ayautla,,
20125,Oaxaca,San Carlos Yautepec,,
20126,Oaxaca,San Cristóbal Amatlán,,
20127,Oaxaca,San Cristóbal Amoltepec,,
20133,Oaxaca,San Esteban Atatlahuca,,
20134,Oaxaca,San Felipe Jalapa de Díaz,,
20136,Oaxaca,San Felipe Usila,,
20139,Oaxaca,San Francisco Chapulapa,,
20146,Oaxaca,San Francisco Logueche,,
20148,Oaxaca,San Francisco Ozolotepec,,
20155,Oaxaca,San Ildefonso Sola,,
20158,Oaxaca,San Jacinto Tlacotepec,,
20159,Oaxaca,San Jerónimo Coatlán,,
20162,Oaxaca,San Jerónimo Taviche,,
20163,Oaxaca,San Jerónimo Tecoatl,,
20164,Oaxaca,San Jorge Nuchita,,
20169,Oaxaca,San José Independencia,,
20170,Oaxaca,San José Lachiguiri,,
20171,Oaxaca,San José Tenango,,
20175,Oaxaca,San Juan Bautista Atatlahuca,,
20182,Oaxaca,San Juan Bautista Tlacoatzintepec,,
20184,Oaxaca,San Juan Bautista Tuxtepec,,
20187,Oaxaca,San Juan Coatzospam,,
20189,Oaxaca,San Juan Comaltepec,,
20195,Oaxaca,San Juan Diuxi,,
20202,Oaxaca,San Juan Lachao,,
20203,Oaxaca,San Juan Lachigalla,,
20205,Oaxaca,San Juan Lalana,,
20211,Oaxaca,San Juan Ozolotepec,,
20212,Oaxaca,San Juan Petlapa,,
20220,Oaxaca,San Juan Tepeuxila,,
20225,Oaxaca,San Lorenzo,,
20228,Oaxaca,San Lorenzo Cuaunecuiltitla,,
20229,Oaxaca,San Lorenzo Texmelucan,,
20231,Oaxaca,San Lucas Camotlán,,
20232,Oaxaca,San Lucas Ojitlán,,
20234,Oaxaca,San Lucas Zoquiápam,,
20236,Oaxaca,San Marcial Ozolotepec,,
20240,Oaxaca,San Martín Itunyoso,,
20242,Oaxaca,San Martín Peras,,
20248,Oaxaca,San Mateo del Mar,,
20257,Oaxaca,San Melchor Betaza,,
20261,Oaxaca,San Miguel Amatitlán,,
20263,Oaxaca,San Miguel Coatlán,,
20264,Oaxaca,San Miguel Chicahua,,
20270,Oaxaca,San Miguel Huautla,,
20271,Oaxaca,San Miguel Mixtepec,,
20275,Oaxaca,San Miguel Quetzaltepec,,
20278,Oaxaca,San Miguel Soyaltepec,,
20282,Oaxaca,San Miguel Tenango,,
20284,Oaxaca,San Miguel Tilquiapam,,
20297,Oaxaca,San Pablo Tijaltepec,,
20302,Oaxaca,San Pedro Atoyac,,
20304,Oaxaca,San Pedro Coxcaltepec Cántaros,,
20306,Oaxaca,San Pedro el Alto,,
20309,Oaxaca,San Pedro Ixcatlán,,
20315,Oaxaca,San Pedro Mártir,,
20323,Oaxaca,San Pedro Ocotepec,,
20325,Oaxaca,San Pedro Quiatoni,,
20326,Oaxaca,San Pedro Sochiapam,,
20328,Oaxaca,San Pedro Taviche,,
20330,Oaxaca,San Pedro Teutila,,
20334,Oaxaca,Villa de Tututepec de Melchor Ocampo,,
20337,Oaxaca,San Pedro y San Pablo Ayutla,,
20352,Oaxaca,San Simón Zahuatlán,,
20354,Oaxaca,Santa Ana Ateixtlahuaca,,
20355,Oaxaca,Santa Ana Cuauhtémoc,,
20360,Oaxaca,Santa Ana Zegache,,
20361,Oaxaca,Santa Catalina Quierí,,
20366,Oaxaca,Santa Catarina Loxicha,,
20367,Oaxaca,Santa Catarina Mechoacán,,
20374,Oaxaca,Santa Cruz Acatepec,,
20379,Oaxaca,Santa Cruz Nundaco,,
20384,Oaxaca,Santa Cruz Xitla,,
20386,Oaxaca,Santa Cruz Zenzontepec,,
20388,Oaxaca,Santa Inés del Monte,,
20391,Oaxaca,Santa Lucía Miahuatlán,,
20392,Oaxaca,Santa Lucía Monteverde,,
20395,Oaxaca,Santa María Apazco,,
20396,Oaxaca,Santa María la Asunción,,
20406,Oaxaca,Santa María Chilchotla,,
20407,Oaxaca,Santa María Chimalapa,,
20424,Oaxaca,Santa María Ozolotepec,,
20425,Oaxaca,Santa María Pápalo,,
20428,Oaxaca,Santa María Quiegolani,,
20433,Oaxaca,Santa María Temaxcaltepec,,
20434,Oaxaca,Santa María Teopoxco,,
20435,Oaxaca,Santa María Tepantlali,,
20438,Oaxaca,Santa María Tlalixtac,,
20440,Oaxaca,Santa María Totolapilla,,
20448,Oaxaca,Santa María Zaniza,,
20450,Oaxaca,Santiago Amoltepec,,
20454,Oaxaca,Santiago Atitlán,,
20457,Oaxaca,Santiago Camotlán,,
20460,Oaxaca,Santiago Choapam,,
20465,Oaxaca,Santiago Ixcuintepec,,
20466,Oaxaca,Santiago Ixtayutla,,
20468,Oaxaca,Santiago Jocotepec,,
20469,Oaxaca,Santiago Juxtlahuaca,,
20490,Oaxaca,Santiago Texcalcingo,,
20491,Oaxaca,Santiago Textitlán,,
20494,Oaxaca,Santiago Tlazoyaltepec,,
20497,Oaxaca,Santiago Yaitepec,,
20502,Oaxaca,Santiago Zacatepec,,
20509,Oaxaca,Santo Domingo de Morelos,,
20512,Oaxaca,Santo Domingo Ozolotepec,,
20514,Oaxaca,Santo Domingo Roayaga,,
20517,Oaxaca,Santo Domingo Tepuxtepec,,
20527,Oaxaca,Santos Reyes Pápalo,,
20529,Oaxaca,Santos Reyes Yucuná,,
20534,Oaxaca,San Vicente Coatlán,,
20543,Oaxaca,Tataltepec de Valdés,,
20554,Oaxaca,Totontepec Villa de Morelos,,
20561,Oaxaca,Yaxe,,
21010,Puebla,Ajalpan,,
21017,Puebla,Atempan,,
21019,Puebla,Atlixco,,
21028,Puebla,Camocuautla,,
21061,Puebla,Eloxochitlán,,
21071,Puebla,Huauchinango,,
21078,Puebla,Huitzilan de Serdán,,
21114,Puebla,Puebla de Zaragoza,,
21119,Puebla,San Andrés Cholula,,
21120,Puebla,San Antonio Cañada,,
21156,Puebla,Tehuacán,,
21195,Puebla,Vicente Guerrero,,
21197,Puebla,Xicotepec,,
21217,Puebla,Zoquitlán,,
22014,Querétaro,Querétaro,,
22016,Querétaro,San Juan del Río,,
23004,Quintana Roo,Othón P. Blanco,,
23005,Quintana Roo,Benito Juárez,,
24003,San Luis Potosí,Aquismón,,
24028,San Luis Potosí,San Luis Potosí,,
24031,San Luis Potosí,Santa Catarina,,
24037,San Luis Potosí,Tamazunchale,,
24041,San Luis Potosí,Tanlajás,,
24054,San Luis Potosí,Xilitla,,
24057,San Luis Potosí,Matlapa,,
25001,Sinaloa,Ahome,,
25006,Sinaloa,Culiacán,,
25011,Sinaloa,Guasave,,
25017,Sinaloa,Sinaloa,,
26026,Sonora,Etchojoa,,
26030,Sonora,Hermosillo,,
27002,Tabasco,Cárdenas,,
27003,Tabasco,Centla,,
27004,Tabasco,Centro,,
27005,Tabasco,Comalcalco,,
27006,Tabasco,Cunduacán,,
27008,Tabasco,Huimanguillo,,
27012,Tabasco,Macuspana,,
28003,Tamaulipas,Altamira,,
28022,Tamaulipas,Matamoros,,
28032,Tamaulipas,Reynosa,,
29007,Tlaxcala,El Carmen Tequexquitla,,
29025,Tlaxcala,San Pablo del Monte,,
29037,Tlaxcala,Zitlaltepec de Trinidad Sánchez Santos,,
30003,Veracruz de Ignacio de la Llave,Acayucan,,
30010,Veracruz de Ignacio de la Llave,Altotonga,,
30018,Veracruz de Ignacio de la Llave,Aquila,,
30023,Veracruz de Ignacio de la Llave,Atzalan,,
30029,Veracruz de Ignacio de la Llave,Calcahualco,,
30039,Veracruz de Ignacio de la Llave,Coatzacoalcos,,
30047,Veracruz de Ignacio de la Llave,Coscomatepec,,
30058,Veracruz de Ignacio de la Llave,Chicontepec,,
30061,Veracruz de Ignacio de la Llave,Las Choapas,,
30067,Veracruz de Ignacio de la Llave,Filomeno Mata,,
30076,Veracruz de Ignacio de la Llave,Ilamatlán,,
30083,Veracruz de Ignacio de la Llave,Ixhuatlán de Madero,,
30086,Veracruz de Ignacio de la Llave,Jalacingo,,
30087,Veracruz de Ignacio de la Llave,Xalapa,,
30103,Veracruz de Ignacio de la Llave,Mecatlán,,
30104,Veracruz de Ignacio de la Llave,Mecayapan,,
30108,Veracruz de Ignacio de la Llave,Minatitlán,,
30110,Veracruz de Ignacio de la Llave,Mixtla de Altamirano,,
30124,Veracruz de Ignacio de la Llave,Papantla,,
30127,Veracruz de Ignacio de la Llave,La Perla,,
30130,Veracruz de Ignacio de la Llave,Playa Vicente,,
30141,Veracruz de Ignacio de la Llave,San Andrés Tuxtla,,
30147,Veracruz de Ignacio de la Llave,Soledad Atzompa,,
30149,Veracruz de Ignacio de la Llave,Soteapan,,
30155,Veracruz de Ignacio de la Llave,Tantoyuca,,
30159,Veracruz de Ignacio de la Llave,Tehuipango,,
30160,Veracruz de Ignacio de la Llave,Álamo Temapache,,
30173,Veracruz de Ignacio de la Llave,Tezonapa,,
30175,Veracruz de Ignacio de la Llave,Tihuatlán,,
30189,Veracruz de Ignacio de la Llave,Tuxpan,,
30193,Veracruz de Ignacio de la Llave,Veracruz,,
30201,Veracruz de Ignacio de la Llave,Zongolica,,
30202,Veracruz de Ignacio de la Llave,Zontecomatlán de López y Fuentes,,
31050,Yucatán,Mérida,,
31073,Yucatán,Tahdziú,,
32010,Zacatecas,Fresnillo,,
32038,Zacatecas,Pinos,,
